"title","province","order","google_title","address","place_id","status","latitude","longitude"
"ศูนย์ประชุมและแสดงสินค้านานาชาติขอนแก่น (ไคซ์)","ขอนแก่น","1","KhonKaen International Convention And Exhibition Center","222 หมู่ที่ 12 Thanon Mittraphap, ตำบล เมืองเเก่า Mueang Khon Kaen District, Khon Kaen 40000, Thailand","ChIJcWhgkOeJIjERTxUoQ_n2ZYA","OPERATIONAL","16.3991934","102.8160302"
"หอประชุมโรงเรียนขามแก่นนคร","ขอนแก่น","2","หอประชุมโรงเรียนขามแก่นนคร","FVC3+MJM Unnamed Road Tambon Sila, Mueang Khon Kaen District, Khon Kaen 40000, Thailand","ChIJucSR4eeLIjERD4cK8FtbRj0","CLOSED_TEMPORARILY","16.4717107","102.8540326"
"หอประชุมอำเภอกระนวน","ขอนแก่น","3","ห้องจัดเลี้ยงกิ่งทองใบหยก","P33C+Q67, Nong Ko, Kranuan District, Khon Kaen 40170, Thailand","ChIJ_QmCpLjlIjERC9a1cRR0kl8","OPERATIONAL","16.704409","103.070542"
"หอประชุมอำเภอภูเวียง","ขอนแก่น","5","Phu Wiang Public Library","M93H+P2W, Phu Wiang, Phu Wiang District, Khon Kaen 40150, Thailand","ChIJ6c7xAD05IjERnmdpR2FOqC0","CLOSED_TEMPORARILY","16.6543506","102.3775908"
"หอประชุมอำเภอชุมแพ","ขอนแก่น","6","หอประชุมใหม่เมืองชุมเเพ","G3VX+44C Unnamed Road Chum Phae, Chum Phae District, Khon Kaen 40130, Thailand","ChIJ4_JhmBsfIjERJUxQ-Dlm0R4","CLOSED_TEMPORARILY","16.5428185","102.0977752"
"หอประชุมอเนกประสงค์อำเภอหนองเรือ","ขอนแก่น","7","ศาลาอเนกประสงค์","Nong Ruea, Nong Ruea District, Khon Kaen 40210, Thailand","ChIJS4mtoalrIjERp9KG0ueL1V8","OPERATIONAL","16.4806941","102.4866363"
"หอประชุมอำเภอมัญจาคีรี","ขอนแก่น","8","Mancha Khiri District Office","หมู่ 3 ฝ่ายการเงิน, Kut Khao, Mancha Khiri District, Khon Kaen 40160, Thailand","ChIJq6qqqpqeGDERQMTpE_ajfdY","OPERATIONAL","16.1267881","102.5422139"
"หอประชุมอำเภอพล","ขอนแก่น","9","Phon District Office","41 Chaloem Phon Alley, Mueang Phon, Phon District, Khon Kaen 40120, Thailand","ChIJ1aA1NeuSGDERnHwvzHfIWb4","OPERATIONAL","15.8159644","102.5987786"
"หอประชุมอำเภอหนองสองห้อง","ขอนแก่น","10","Nong Song Hong District Office","PQMW+95G อาคารที่ว่าการ 207, Nong Song Hong, Nong Song Hong District, Khon Kaen 40190, Thailand","ChIJi6NXSnj1GDERMk2tVkl38D8","OPERATIONAL","15.733449","102.7954499"
"หอประชุมอำเภอบ้านไผ่","ขอนแก่น","11","หอประชุมอเนกประสงค์ ประชาเมืองไผ่","16°04'20.7""N 102°44'09. 2, Thailand","ChIJj1QUZUeBGDERW3wAZomtBlE","OPERATIONAL","16.0724254","102.7358791"
"อาคารอเนกประสงค์เทศบาลตำบลพลับพลานารายณ์","จันทบุรี","1","อาคารอเนกประสงค์ เทศบาลตำบลพลับพลานารายณ์","J42P+382, Phlap Phla, Mueang Chanthaburi District, Chanthaburi 22000, Thailand","ChIJ96GBlGuBBDERd_nNlyhnbp8","OPERATIONAL","12.6001264","102.135769"
"อาคารอเนกประสงค์ โรงเรียนท่าใหม่ ""พลูสวัสดิ์ราษฎร์นุกุล""","จันทบุรี","2","Tha Mai ""Poolsawat Ratnukool"" School","100 สัมปทาน ถนน สัมปทาน Tha Mai, Tha Mai District, Chanthaburi 22120, Thailand","ChIJhbC5cih8AzERw47MyaU28MM","OPERATIONAL","12.6255886","102.0154364"
"เทศบาลตาบลปัถวี","จันทบุรี","3","Patthawi Sub District Administration Organization","49 หมู่ 5 Patthawi, Makham District, Chanthaburi 22150, Thailand","ChIJTXxCzIyaBDERHrG7viCeQ9U","OPERATIONAL","12.7420577","102.2326955"
"ศาลาจัตุรมุข และบริเวณสนามโดยรอบ หน้าศาลากลางจังหวัดฉะเชิงเทรา","ฉะเชิงเทรา","1","Chachoengsao Provincial Hall","M3QC+332, Rueangwut, Na Mueang, Mueang Chachoengsao District, Chachoengsao 24000, Thailand","ChIJB8_kDuAVHTERqrVUsuRQ9pE","OPERATIONAL","13.6876706","101.0700991"
"โดมโรงเรียนบางน้าเปรี้ยววิทยา (ด้านทิศตะวันตก)","ฉะเชิงเทรา","2","โรงเรียนบางน้ำเปรี้ยววิทยา","R3W5+3PJ, Phrong Akat, Bang Nam Priao District, Chachoengsao 24150, Thailand","ChIJQbh8a7kTHTEREByk4-54WVM","OPERATIONAL","13.844801","101.0589388"
"หอประชุมอำเภอสนามชัยเขต ที่ว่าการอำเภอสนามชัยเขต","ฉะเชิงเทรา","3","Sanam Chai Khet District Officd","หมู่ 4, อาคารที่ว่าการอำเภอสนามชัยเขต, ตำบลคู้ยายหมี อำเภอสนามชัยเขต จังหวัดฉะเชิงเทรา, 24160 Thailand","ChIJ_RKrIlLnHDERIgdf-GSYoPE","OPERATIONAL","13.658406","101.438891"
"หอประชุมอำเภอบางปะกง บริเวณลานหน้าที่ว่าการอำเภอบางปะกง","ฉะเชิงเทรา","4","Bang Pakong District Office","ที่ว่าการ 2 ต Tha Sa An, Bang Pakong District, Chachoengsao 24130, Thailand","ChIJPxN_5484HTERA94vls5UzoA","OPERATIONAL","13.5427168","100.9939738"
"บริเวณลานหน้าศาลากลางจังหวัดชลบุรี อำเภอเมืองชลบุรี","ชลบุรี","1","สนามหน้าศาลากลางจังหวัดชลบุรี","9X7J+7VX, Bang Pla Soi, Chon Buri District, Chon Buri 20000, Thailand","ChIJCS59iog1HTERjQ-MkeheLYE","OPERATIONAL","13.363244","100.9822217"
"ศาลาประชาคมเทศบาลเมืองบ้านสวน อำเภอเมืองชลบุรี","ชลบุรี","2","Ban Suan Town Municipality Office","999 หมู่ที่ 3 Phaya Satcha Rd, Ban Suan, อำเภอ เมืองชลบุรี Chon Buri 20000, Thailand","ChIJgYgv9XdKHTEROIdIuy50ueM","OPERATIONAL","13.3474798","100.9694335"
"อาคารโดมโรงเรียนพานทองสภาชนูปถัมภ์ อำเภอพานทอง","ชลบุรี","3","Phanthongsabhachanupathum School","F37R+GQQ, Phan Thong, Phan Thong District, Chon Buri 20160, Thailand","ChIJg9y5br4wHTERq6JZSQuQN-g","OPERATIONAL","13.4638576","101.0919649"
"อาคารโดมโรงเรียนบ้านบึง ""อุตสาหกรรมนุเคาระห์"" อำเภอบ้านบึง","ชลบุรี","4","โรงเรียนบ้านบึง ""อุตสาหกรรมนุเคราะห์""","170 Chon Buri-Ban Bueng Rd, Ban Bueng, Ban Bueng District, Chon Buri 20170, Thailand","ChIJe4A3ziUzHTERNf_2MDdKNmk","OPERATIONAL","13.3136361","101.1096822"
"หอประชุมสวนสาธารณะเฉลิมพระเกียรติเทศบาลเมืองพนัสนิคม อำเภอพนัสนิคม","ชลบุรี","5","หอประชุมเทศบาลเมืองพนัสนิคม (โรงไม้ขีดเก่า)","C5QQ+V43, Phanat Nikhom, Phanat Nikhom District, Chon Buri 20140, Thailand","ChIJa850-rYvHTEREVv_NbGdyu8","OPERATIONAL","13.4396282","101.18781"
"อาคารเรียนและอาคารโดมโรงเรียนเทศบาลบ้านศรีมหาราชา อำเภอศรีราชา","ชลบุรี","6","Ban Si Maharacha Municipal School","5, Jerm Jom Phon Road, Si Racha, Si Racha District, Chon Buri 20110, Thailand","ChIJc3HeBf22AjERGMWfVurOoeg","OPERATIONAL","13.1726939","100.9266475"
"อาคารโดมโรงเรียนบึงศรีราชาพิทยาคม อำเภอศรีราชา","ชลบุรี","7","Bueng Si Racha Pittayakhom School","25 Si Racha District, Chon Buri 20230, Thailand","ChIJVc37O6fHAjERdI9-gLJqxIQ","OPERATIONAL","13.0784785","101.0092359"
"สนามกีฬาโรงเรียนเมืองพัทยา 2 อำเภอบางละมุง","ชลบุรี","8","สนามกีฬา​อำเภอ​บางละมุง​(แห่ง​ที่​2)​","XXV4+FP3 หนองหัวแรด Nong Pla Lai, Bang Lamung District, Chon Buri 20150, Thailand","ChIJ_X9hmVW_AjER9A6fIRSVxKs","OPERATIONAL","12.9936439","100.9567916"
"อาคารโดมโรงเรียนบางละมุง อำเภอบางละมุง","ชลบุรี","8","อาคาร 3 โรงเรียนบางละมุง","4 หมู่ 2 Sukhumvit Road, Muang Pattaya, Bang Lamung District, Chon Buri 20150, Thailand","ChIJwdCjeUm_AjERcZ8KKQh8lcs","OPERATIONAL","12.9694738","100.9110852"
"อาคารโดมโรงเรียนเมืองพัทยา 7 อำเภอบางละมุง","ชลบุรี","9","Pattaya City 7 School (Ban Nong Pang Kae)","87 หมู่ 12 Sukhumvit Road, Muang Pattaya, Bang Lamung District, Chon Buri 20150, Thailand","ChIJhWJ_McGVAjERr9NPdkVSCrM","OPERATIONAL","12.8890474","100.8977249"
"อาคารโดมโรงเรียนสิงห์สมุทร ฝั่งมัธยมปลาย อำเภอสัตหีบ","ชลบุรี","10","Sing Samut School","หน้า ฐานทัพเรือสัตหีบ ม.1 ต Sattahip, Sattahip District, Chon Buri 20180, Thailand","ChIJWSAFufGLAjERh9REALBDYIs","OPERATIONAL","12.6757275","100.8932427"
"โดม โรงเรียนชัยนาทพิทยาคม อำเภอเมืองชัยนาท","ชัยนาท","1","Chai Nat Pittayakhom School","36 Kongtham Alley, Khao Tha Phra, Mueang Chai Nat District, Chai Nat 17000, Thailand","ChIJEYaNGni94TARjc9yNXoOBKY","OPERATIONAL","15.1889466","100.124684"
"โรงเรียนหันคาพิทยาคม อำเภอหันคา","ชัยนาท","2","Hankha Pittayakhom School","Hankha, Hankha District, Chai Nat 17130, Thailand","ChIJIwc1b7yE4TARldOof8znEAE","OPERATIONAL","14.9816265","100.0055618"
"โดมสามเศียร มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตชัยภูมิ อำเภอเมืองชัยภูมิ","ชัยภูมิ","1","มหาวิทยาลัยการกีฬาแห่งชาติ วิทยาเขตชัยภูมิ","หมู่ที่ 4 239 Nai Mueang, Mueang Chaiyaphum District, Chaiyaphum 36000, Thailand","ChIJzfq2zhI1HzERVQJ5mfvnGiM","OPERATIONAL","15.8079767","102.0190182"
"อาคารศูนย์กีฬาเฉลิมพระเกียรติเทศบาลตำบลจัตุรัส อำเภอจัตุรัส","ชัยภูมิ","2","อาคารศูนย์กีฬาเยาวชนเฉลิมพระเกียรติ","HR8X+4FM, Ban Kok, Chatturat District, Chaiyaphum 36130, Thailand","ChIJv0S3BdIlHzER3p2dMZpnbaE","OPERATIONAL","15.5653842","101.8485457"
"หอประชุมอำเภอบำเหน็จณรงค์","ชัยภูมิ","3","Bamnet Narong District Office","GM2P+3G8 Unnamed Road Ban Chuan, Bamnet Narong District, Chaiyaphum 36160, Thailand","ChIJ_ZJAfZYfHzERH0xAxuu5dQ8","OPERATIONAL","15.5001705","101.6863337"
"หอประชุมอำเภอหนองบัวแดง (หลังใหม่)","ชัยภูมิ","4","หอประชุมหนองบัวแดง","3RM3+2VX, Nong Bua Daeng, Nong Bua Daeng District, Chaiyaphum 36210, Thailand","ChIJvcvT_s9bHzERhEYYgJLONcM","CLOSED_TEMPORARILY","16.0826045","101.8047311"
"อาคารอเนกประสงค์หน้าที่ว่าการอำเภอเกษตรสมบูรณ์","ชัยภูมิ","5","Kaset Sombun District Office","7XJ3+4HM, Ban Yang, Kaset Sombun District, Chaiyaphum 36120, Thailand","ChIJPRR5lon9ITERiWTvBEollzk","OPERATIONAL","16.2803391","101.9539325"
"หอประชุมอำเภอภูเขียว","ชัยภูมิ","6","ห้องประชุมตะโกดัดแห่งประเทศไทย","94CJ+63Q ตําบลผักปังอําเภอภูมิเขียว Phak Pang, Phu Khiao District, Chaiyaphum 36110, Thailand","ChIJOTGY9ZUdIjERvA9X53zJiNk","OPERATIONAL","16.3705916","102.1301262"
"หอประชุมอำเภอแก้งคร้อ","ชัยภูมิ","7","Kaeng Khro District Office","240 ถนนชัยภูมิ-ภูเขียว Chong Sam Mo, Kaeng Khro District, Chaiyaphum 36150, Thailand","ChIJh_ES2SGmGDERVgBFIbSxrxc","OPERATIONAL","16.1084681","102.2580637"
"โรงเรียนสอาดเผดิมวิทยา","ชุมพร","1","Saard Paderm Wittaya School","196 ถนนพิศิษฐ์พยาบาล Tha Taphao, Mueang Chumphon District, Chumphon 86000, Thailand","ChIJ0TPWILWq-DARCFIJ9HNb6nQ","OPERATIONAL","10.4958755","99.1863812"
"หอประชุมอเนกประสงค์โรงเรียนท่าแซะรัชดาภิเษก อำเภอท่าแซะ","ชุมพร","2","Tha Sae Ratchadapisek School","M58R+X32, Tha Sae, Tha Sae District, Chumphon 86140, Thailand","ChIJExi_JVVN_zARbQhe4JaoigU","OPERATIONAL","10.6673822","99.19013969999999"
"หอประชุมอำเภอหลังสวน","ชุมพร","3","หอประชุมราชอณาจักรแห่งพยานพระยะโฮวา","W3VJ+24P, Khan Ngoen, Lang Suan District, Chumphon 86110, Thailand","ChIJ5zJ3IxN6VjAR3PPncz0LUI4","OPERATIONAL","9.942576700000002","99.0803139"
"หอประชุมใหญ่ มหาวิทยาลัยราชภัฏเชียงราย อำเภอเมืองเชียงราย","เชียงราย","1","หอประชุมใหญ่ มหาวิทยาลัยราชภัฏเชียงราย","XRMV+4XF, Ban Du, Mueang Chiang Rai District, Chiang Rai 57100, Thailand","ChIJH06ZPD0B1zARMrXbtrgnjqE","OPERATIONAL","19.9828166","99.84491109999999"
"อาคารกีฬาเฉลิมพระเกียรติ 72 พรรษา (อาคารโรงยิม) ศูนย์กีฬามหาวิทยาลัยแม่ฟ้าหลวง อำเภอเมืองเชียงราย","เชียงราย","2","Indoor Stadium","3V4V+QVX, Tha Sut, Mueang Chiang Rai District, Chiang Rai 57100, Thailand","ChIJgd5cQPz_1jARWLjLSt-Xqo8","OPERATIONAL","20.0568716","99.8949961"
"หอประชุมที่ว่าการอำเภอแม่สรวย","เชียงราย","3","ที่ทำการผู้ใหญ่บ้านหมู่ที่ 1","JG54+5MR, Chedi Luang, Mae Suai District, Chiang Rai 57180, Thailand","ChIJEauSrVpB1zARHa3DOarm5tc","OPERATIONAL","19.6080596","99.5066796"
"หอประชุมองค์การบริหารส่วนตำบลเมืองพาน อำเภอพาน","เชียงราย","4","อบต.เมืองพาน","Rural Rd Chiang Rai 2077, Mueang Phan, Phan District, Chiang Rai 57120, Thailand","ChIJ6aReMLBx1zARZLgimrRkVZc","OPERATIONAL","19.5497546","99.75655259999999"
"หอประชุมที่ว่าการอำเภอขุนตาล","เชียงราย","5","Khun Tan Districe Office","999 หมู่ 14, ถนนเทิง-เชียงของ, ตำบลป่าตาล อำเภอขุนตาล จังหวัดเชียงราย, 57340 Thailand","ChIJ7xmPlQe41zARhO1e9ob4RVs","OPERATIONAL","19.8336383","100.2586965"
"หอประชุมที่ว่าการอำเภอแม่สาย","เชียงราย","6","Mae Sai District Office","CVHM+68R, Wiang Phang Kham, Mae Sai District, Chiang Rai 57130, Thailand","ChIJEwfRDUv11jARiLvd4Ivfp6g","OPERATIONAL","20.4281276","99.8831896"
"หอประชุมที่ว่าการอำเภอเชียงแสน","เชียงราย","7","หอประชุมอำเภอเชียงแสน","เวียง Tambon Wiang, Chiang Saen District, Chiang Rai 57150, Thailand","ChIJOzKZeDFF1jARS8mg2ohJ4x4","OPERATIONAL","20.2755816","100.0874934"
"ศูนย์ประชุมและแสดงสินค้านานาชาติเชียงใหม่ อำเภอเมืองเชียงใหม่","เชียงใหม่","1","Chiang Mai International Exhibition and Convention Centre","District 456 ถนน ช้างเผือก Tambon Chang Phueak, Mueang Chiang Mai District, Chiang Mai 50300, Thailand","ChIJ7Ze7nlM62jARGdPGYnD7V0o","OPERATIONAL","18.8270012","98.9602065"
"อาคารสายธารธรรม มหาวิทยาลัยพายัพ อำเภอเมืองเชียงใหม่","เชียงใหม่","2","Payap University Admissions Office","Q2WJ+2MG, San Phranet, Amphoe San Sai, Chiang Mai 50000, Thailand","ChIJ-aKaH0Il2jARCBlQUYcB8nI","OPERATIONAL","18.7950591","99.0316979"
"โรงเรียนบ้านหนองโค้ง ตำบลต้นเปา อำเภอสันกำแพง","เชียงใหม่","3","Ban Nong Khong School","61 ปวงประชาเป็นสุข ซอย 8 Ton Pao, San Kamphaeng District, Chiang Mai 50130, Thailand","ChIJD4-XZ2Yv2jAR3wGRtaZrzcw","OPERATIONAL","18.7668595","99.07426199999999"
"มหาวิทยาลัยแม่โจ้อำเภอสันทราย","เชียงใหม่","4","Maejo University","63 หมู่ที่ 4 Nong Han, San Sai District, Chiang Mai 50290, Thailand","ChIJacxOmMo82jARUt0KYBx5gCk","OPERATIONAL","18.8946321","99.01086160000001"
"สำนักงานเทศบาลสันโป่ง อำเภอแม่ริม","เชียงใหม่","5","เทศบาลตำบลสันโป่ง","200 หมู่ 3, ตำบลสันโป่ง อำเภอแม่ริม จังหวัดเชียงใหม่, 50180 50180, Thailand","ChIJY-iaLsE92jARQpPjQGKf-fQ","OPERATIONAL","18.9426376","98.9433395"
"หอประชุมเทศบาลตำบลเชียงดาว อำเภอเชียงดาว","เชียงใหม่","6","เทศบาลตำบลเชียงดาว","555 หมู่ 6, ตำบลเชียงดาว อำเภอเชียงดาว จังหวัดเชียงใหม่, 50170 50170, Thailand","ChIJwV_XF3Sn0DARhk0DvnTshjs","OPERATIONAL","19.3612348","98.9625609"
"อาคารโดม โรงเรียนบ้านเวียงฝาง อำเภอฝาง","เชียงใหม่","7","Fang Elementary School","359/6 ม.5 ถ.เจ็ดยอด ต.เวียง, Fang District, Chiang Mai 50110, Thailand","ChIJa9bEnGkt1zARfPSEAWBPaLQ","OPERATIONAL","19.917367","99.21522700000001"
"อาคารอเนกประสงค์ โรงเรียนเทศบาลหางดง (ประชาคมสร้างสรรค์) (โรงยิม) อำเภอหางดง","เชียงใหม่","8","โรงเรียนเทศบาลหางดง (ประชาคมสร้างสรรค์)","MWJ8+X4Q, Hang Dong, Hang Dong District, Chiang Mai 50230, Thailand","ChIJ1ZyO7gQ02jARWRY_Yng1u-k","OPERATIONAL","18.6824609","98.9153639"
"โรงเรียนศรีจอมทอง ตำบลดอยแก้ว อำเภอจอมทอง","เชียงใหม่","9","Si Chom Thong Community School","192 หมู่ 19 ซอย 1 Doi Kaeo, Chom Thong District, Chiang Mai 50160, Thailand","ChIJ-1M1HV2w2zARnnDEQDHrahc","OPERATIONAL","18.4161467","98.6754888"
"สำนักงานเทศบาลตำบลท่าข้าม อำเภอฮอด","เชียงใหม่","10","Tha Kham Sub District Municipal Office","6H2W+XXQ, Hang Dong, Hot District, Chiang Mai 50240, Thailand","ChIJLSf0rumY2zARnsEBlPdaj9Y","OPERATIONAL","18.2024536","98.59748839999999"
"โรงยิมเนเซียม 4,000 ที่นั่ง สนามกีฬาทุ่งแจ้ง ตำบลบางรัก อำเภอเมืองตรัง","ตรัง","1","Municipal 2 Sports Stadium (Thung Chaeng)","Indoor Arena Complex Bang Rak, Mueang Trang District, Trang 92000, Thailand","ChIJyxExBViMTTARjdgD6c7MId0","OPERATIONAL","7.559962","99.5904087"
"โรงเรียนห้วยยอด (กลึงวิทยาคาร) ตำบลห้วยยอด อำเภอห้วยยอด","ตรัง","2","Huai YOT Klung Witthayakhan School","Phet Kasem Road , Huai YOT , 92130 Huai YOT , Trang, Thailand","ChIJhW3ZEdlzUjARaLVHp3ITokk","OPERATIONAL","7.7920165","99.6301246"
"หอประชุมอำเภอปะเหลียน","ตรัง","3","Palian District Office","นายอำเภอ ถนนตรัง-ปะเหลียน อำเภอปะเหลียน Palian District, Trang 92120, Thailand","ChIJvaimyYW6TTARsPJQblhXWVA","OPERATIONAL","7.1723095","99.6858185"
"อาคารคอซิมบี้ เทศบาลเมืองกันตัง อำเภอกันตัง","ตรัง","4","หอประชุมอเนกประสงค์คอซิมบี๊ Kosimbee Convention Hall","CG48+P9R, Kaipitak Rd., Kantang, Kantang District, Trang, Thailand","ChIJ7TaIom7rTTARiYTs3B9z8cU","OPERATIONAL","7.406864700000001","99.5158816"
"ศูนย์แสดงสินค้าองค์การบริหารส่วนจังหวัดตราด","ตราด","1","หอประชุม 5000 ที่นั่ง องค์การบริหารส่วนจังหวัดตราด","7FWJ+M83, Unnamed Road, Wang Krachae, Mueang Trat District, Trat 23000, Thailand","ChIJ2-2GLYVDBDERLrYqM6DeTFM","OPERATIONAL","12.2966041","102.4808176"
"โรงเรียนตากพิทยาคม","ตาก","1","Tak Pittayakhom School","V4CJ+93X, Rahaeng, Mueang Tak District, Tak 63000, Thailand","ChIJ069GOLnZ3TARQ5_zis8pS7s","OPERATIONAL","16.8709791","99.1302294"
"ลานหน้าที่ว่าการอำเภอแม่สอด","ตาก","2","Mae Sot District Office","แผนกปกครอง Prasatwithi Rd, Mae Sot, Mae Sot District, Tak 63110, Thailand","ChIJCYZmwEuf3TAR9H3Kbf9-3kQ","OPERATIONAL","16.7130179","98.5747214"
"หอประชุมที่ว่าการอำเภอแม่ระมาด","ตาก","3","Mae Ramat District Office","หมู่ 4, อาคารที่ว่าการอำเภอแม่ระมาด, ตำบลแม่ระมาด อำเภอแม่ระมาด จังหวัดตาก, 63140 Thailand","ChIJdS1yTaWp3TARGKQxYYkxAjU","OPERATIONAL","16.982998","98.5168478"
"โรงเรียนนวมราชานุสรณ์ ตำบลท่าช้าง อำเภอเมืองนครนายก","นครนายก","1","Nawama Rachanusorn School","161 Rangsit - Nakhon Nayok Rd, Tha Chang, Mueang Nakhon Nayok District, Nakhon Nayok 26000, Thailand","ChIJO-q9h9SvHTERLRLdPkeiovc","OPERATIONAL","14.2027127","101.2042759"
"อาคารอเนกประสงค์ศูนย์กีฬาเทศบาลตำบลองครักษ์ อำเภอองครักษ์","นครนายก","2","Ongkharak Sports Center","42F3+8WC, Ongkharak, Ongkharak District, Nakhon Nayok 26120, Thailand","ChIJ2-r754qhHTERzuxZLyoR5Yo","OPERATIONAL","14.1233094","101.0047541"
"ปะรำบริเวณหน้าที่ทำการองค์การบริหารส่วนตำบลบางแขม","นครปฐม","1","Bang Khaem Subdistrict Administrative Organization","หมู่ที่ 8 ตำบล บางแขม อำเภอเมืองนครปฐม นครปฐม Thailand","ChIJGVv-gmLm4jARws5tTNpqJzs","OPERATIONAL","13.7874262","100.0361175"
"ปะรำบริเวณอุทยานการอาชีพชัยพัฒนาตำบลบ่อพลับอำเภอเมืองนครปฐม","นครปฐม","2","Chaipattana Occupational Park Nakhon Pathom Province (under the supervision of the Chaipattana Foundation)","477/2 ถ.ทหารบก Mueang Nakhon Pathom District, Nakhon Pathom 73000, Thailand","ChIJP7Br5I3l4jAR2j8GjFx-MZ0","OPERATIONAL","13.8279352","100.0704846"
"หอประชุมที่ว่าการอำเภอกำแพงแสน","นครปฐม","3","Auditorium","Malai Man Road , Thung Kraphang Hom , 73140 Kamphaeng Saen , Nakhon Pathom, Thailand","ChIJoQo2e0354jARjbUX-wtMDi0","CLOSED_TEMPORARILY","13.998189","99.993344"
"หอประชุมศาลาประชาคมอำเภอบางเลน","นครปฐม","4","Bang Len District Hall","25C7+JXP, Bang Len, Bang Len District, Nakhon Pathom 73130, Thailand","ChIJYd_ZLoH24jARfAdmhMxSTMM","CLOSED_TEMPORARILY","14.0215956","100.1649515"
"อาคารปฏิบัติธรรมเฉลิมพระเกียรติ 84 พรรษา มหาราชา วัดไร่ขิง (ฝั่งโรงพยาบาลสามพราน (ไร่ขิง)) ตำบลไร่ขิง อำเภอสามพราน","นครปฐม","6","อาคารปฏิบัติธรรมเฉลิมพระเกียรติ 84 พรรษา มหาราชา","P7X6+9M5, Rai Khing, Sam Phran District, Nakhon Pathom 73210, Thailand","ChIJm0ifKBCV4jARezXTFjjlRS8","OPERATIONAL","13.7483758","100.261729"
"หอประชุมที่ว่าการอำเภอศรีสงคราม","นครพนม","1","Si Songkhram Distric Office","J7G2+V49 ที่ว่าการอำเภอศรีสงคราม ถนนศรีสงคราม-ท่าดอกแก้ว Si Songkhram, Si Songkhram District, Nakhon Phanom 48150, Thailand","ChIJ0yDQXYF5OzERfQlWXYrJzaU","OPERATIONAL","17.6271543","104.2503606"
"หอประชุมที่ว่าการอำเภอท่าอุเทน","นครพนม","2","หอประชุมยงใจยุทธ","HJ56+3Q5, Non Tan, Tha Uthen District, Nakhon Phanom 48120, Thailand","ChIJS8zPWwGLOzERCH0L000Nci0","OPERATIONAL","17.5576413","104.6119953"
"ศาลาประชาคมยงใจยุทธ ศาลากลางจังหวัดนครพนม อำเภอเมืองนครพนม","นครพนม","2","Nakhon Phanom Provincial Hall","ศาลากลางจังหวัดนครพนม (หลังใหม่) Nai Mueang, อำเภอ เมือง Nakhon Phanom 48000, Thailand","ChIJszXZ6DgJPDERqERB637K9Gw","OPERATIONAL","17.4071277","104.7820059"
"หอประชุมที่ว่าการอำเภอธาตุพนม","นครพนม","3","That Phanom District Office","WPP5+GRV, That Phanom, That Phanom District, Nakhon Phanom 48110, Thailand","ChIJ2QhB7X43PDER2zfvRX9xNUA","OPERATIONAL","16.9363393","104.7095746"
"หอประชุมโรงเรียนคาเตยอุปถัมภ์ อำเภอเมืองนครพนม","นครพนม","3","โรงเรียนคำเตยอุปถัมภ์","เลขที่ 82 หมู่ 5, ต.คำเตย อ.เมือง จ.นครพนม, 48000 Thailand","ChIJac0IrJkUPDERdwJXoNbfsHQ","OPERATIONAL","17.224677","104.7372057"
"หอประชุมที่ว่าการอำเภอปลาปาก","นครพนม","4","Pla Pak Meeting Hall","5GJG+FC3, Pla Pak, Pla Pak District, Nakhon Phanom 48160, Thailand","ChIJhfVAdKlpPDERvLWQYQRW7Fc","CLOSED_TEMPORARILY","17.1810766","104.5258597"
"เซ็นทรัลพลาซานครราชสีมา","นครราชสีมา","1","Central Korat","990 Thanon Mittraphap, Nai Mueang, Mueang Nakhon Ratchasima District, Nakhon Ratchasima 30000, Thailand","ChIJ24HbRnhLGTERHnET5yQLVys","OPERATIONAL","14.9958857","102.1167894"
"ศูนย์ฝึกอบรมตำรวจภูธร ภาค 3 อำเภอเมืองนครราชสีมา","นครราชสีมา","2","ศูนย์ฝึกอบรมตำรวจภูธรภาค 3","24MQ+3P5, Cho Ho, Mueang Nakhon Ratchasima District, Nakhon Ratchasima 30310, Thailand","ChIJO-ceekpKGTER1lSEWG2aRes","OPERATIONAL","15.0326277","102.1392917"
"เทศบาลตำบลเมืองใหม่โคกกรวด อำเภอเมืองนครราชสีมา","นครราชสีมา","3","Khok Kruat","Khok Kruat, Mueang Nakhon Ratchasima District, Nakhon Ratchasima, Thailand","ChIJ_4yUlw2uHjERgOPeyM9pBAQ","undefined","14.9254569","101.9628074"
"หอประชุมอำเภอสูงเนิน","นครราชสีมา","4","Mahat Thai 100 Years Auditorium","VPRF+Q5M, ทางหลวงแผ่นดินหมายเลข 201 (เดิม, Sikhio, Sikhio District, Nakhon Ratchasima 30140, Thailand","ChIJsydEE5aiHjERiobssy4aORI","OPERATIONAL","14.8919667","101.7229081"
"หอประชุมอำเภอสูงเนิน","นครราชสีมา","5","Mahat Thai 100 Years Auditorium","VPRF+Q5M, ทางหลวงแผ่นดินหมายเลข 201 (เดิม, Sikhio, Sikhio District, Nakhon Ratchasima 30140, Thailand","ChIJsydEE5aiHjERiobssy4aORI","OPERATIONAL","14.8919667","101.7229081"
"หอประชุมอำเภอบัวใหญ่","นครราชสีมา","6","Bua Yai District Office","HCMF+866 Unnamed Road Bua Yai, Bua Yai District, Nakhon Ratchasima 30120, Thailand","ChIJecuKHm_dGDERNfnvbE1oQnM","OPERATIONAL","15.5832976","102.4230131"
